1_sentence,Своими экспериментами он убедительно опроверг умозрительную метафизику Аристотеля и заложил фундамент классической механики.
2_masked_token,Аристотеля
3_masked_sentence,Своими экспериментами он убедительно опроверг умозрительную метафизику [MASK] и заложил фундамент классической механики.
4_bert_hypotheses,"['Аристотеля', 'Канта', 'математики', 'Декарта', 'Гегеля', 'Ньютона', 'науки', 'механики', 'философии', 'материализма', 'Платона', 'логики', 'Лейбница', 'геометрии', 'Паскаля']"
1_sentence,"При жизни был известен как активный сторонник гелиоцентрической системы мира, что привело Галилея к серьёзному конфликту с католической церковью."
2_masked_token,Галилея
3_masked_sentence,"При жизни был известен как активный сторонник гелиоцентрической системы мира, что привело [MASK] к серьёзному конфликту с католической церковью."
4_bert_hypotheses,"['его', 'ему', 'впоследствии', 'бы', 'даже', 'и', 'затем', 'позднее', 'тогда', 'позже', 'вскоре', 'им', 'также', 'их', 'лишь']"
1_sentence,Правящая там династия Медичи была известна широким и постоянным покровительством искусству и наукам.
2_masked_token,Медичи
3_masked_sentence,Правящая там династия [MASK] была известна широким и постоянным покровительством искусству и наукам.
4_bert_hypotheses,"['Фудзивара', 'также', ',', 'инков', 'Тан', 'Юань', 'Цин', 'Чосон', 'Мин', 'правителей', 'Хань', 'Чжоу', 'не', 'Валуа', 'Сасанидов']"
1_sentence,"Вероятно, в эти годы он познакомился с теорией Коперника."
2_masked_token,Коперника
3_masked_sentence,"Вероятно, в эти годы он познакомился с теорией [MASK]."
4_bert_hypotheses,"['логики', 'чисел', 'Аристотеля', 'относительности', 'геометрии', 'Евклида', 'Ньютона', 'множеств', 'математики', 'Канта', 'Платона', 'вероятностей', 'физики', 'Римана', 'Гильберта']"
1_sentence,"В 1591 году умер отец, и ответственность за семью перешла к Галилео."
2_masked_token,Галилео
3_masked_sentence,"В 1591 году умер отец, и ответственность за семью перешла к [MASK]."
4_bert_hypotheses,"['отцу', 'матери', 'сыну', 'брату', 'королю', 'братьям', 'сыновьям', 'дяде', 'ему', 'детям', 'родителям', 'племяннику', 'нему', 'семье', 'мальчику']"
1_sentence,"По рекомендательному письму венецианского дожа университету можно судить о том, что научный авторитет Галилея уже в эти годы был чрезвычайно высок: Сознавая всю важность математических знаний и их пользу для других главных наук, мы медлили назначением, не находя достойного кандидата."
2_masked_token,Галилея
3_masked_sentence,"По рекомендательному письму венецианского дожа университету можно судить о том, что научный авторитет [MASK] уже в эти годы был чрезвычайно высок: Сознавая всю важность математических знаний и их пользу для других главных наук, мы медлили назначением, не находя достойного кандидата."
4_bert_hypotheses,"['университета', 'университетов', 'его', 'Университета', 'академии', 'профессоров', 'нас', 'их', 'университету', 'нашего', 'наук', 'наших', 'ума', 'студентов', 'МГУ']"
1_sentence,Вскоре он стал самым знаменитым профессором в Падуе.
2_masked_token,Падуе
3_masked_sentence,Вскоре он стал самым знаменитым профессором в [MASK].
4_bert_hypotheses,"['университете', 'США', 'Европе', 'Англии', 'истории', 'мире', 'школе', 'стране', 'Германии', 'городе', 'Оксфорде', 'Великобритании', 'Америке', 'Индии', 'России']"
1_sentence,"В ранних работах, а также в переписке, Галилей дал первый набросок новой общей теории падения тел и движения маятника."
2_masked_token,Галилей
3_masked_sentence,"В ранних работах, а также в переписке, [MASK] дал первый набросок новой общей теории падения тел и движения маятника."
4_bert_hypotheses,"['он', 'Ньютон', 'Эйлер', 'автор', 'и', 'Миллер', 'я', 'им', 'Менделеев', 'первым', 'Мюллер', 'Ломоносов', 'где', 'учёный', 'Браун']"
1_sentence,"Это пробуждает всеобщий интерес к астрономии, и Галилей выступает с циклом частных лекций."
2_masked_token,Галилей
3_masked_sentence,"Это пробуждает всеобщий интерес к астрономии, и [MASK] выступает с циклом частных лекций."
4_bert_hypotheses,"['он', 'она', 'Ньютон', 'учёный', 'астроном', 'вскоре', 'Фрай', 'профессор', 'Эйнштейн', 'Браун', 'автор', 'университет', 'Гёте', 'общество', 'школа']"
1_sentence,"Свои первые открытия с телескопом Галилей описал в сочинении ""Звёздный вестник"" (лат. Sidereus Nuncius), изданном во Флоренции в 1610 году."
2_masked_token,Галилей
3_masked_sentence,"Свои первые открытия с телескопом [MASK] описал в сочинении ""Звёздный вестник ""(лат."
4_bert_hypotheses,"['он', 'Кеплер', 'Галилей', 'Ньютон', 'телескоп', 'Свифт', 'Птолемей', 'Телескоп', 'астроном', 'Хаббл', 'Байер', 'Герц', 'Браге', 'учёный', 'Мессье']"
1_sentence,"Книга имела сенсационный успех по всей Европе, даже коронованные особы спешили заказать себе телескоп."
2_masked_token,Европе
3_masked_sentence,"Книга имела сенсационный успех по всей [MASK], даже коронованные особы спешили заказать себе телескоп."
4_bert_hypotheses,"['странам', 'миру', 'странах', 'временам', 'странами', 'сторонам', 'направлениям', 'стороны', 'пунктам', 'стран', 'предметам', 'частям', 'городам', 'отраслям', 'вопросам']"
1_sentence,"Несколько телескопов Галилей подарил Венецианскому сенату, который в знак благодарности назначил его пожизненным профессором с окладом 1000 флоринов."
2_masked_token,Галилей
3_masked_sentence,"Несколько телескопов [MASK] подарил Венецианскому сенату, который в знак благодарности назначил его пожизненным профессором с окладом 1000 флоринов."
4_bert_hypotheses,"['он', 'учёный', 'Галилей', ',', 'Ньютон', 'Леонардо', 'Микеланджело', 'ученый', 'также', 'Кеплер', 'Фонтана', 'и', 'король', 'тот', 'телескоп']"
1_sentence,"Он так и не обвенчался с Мариной, но стал отцом сына и двух дочерей."
2_masked_token,Мариной
3_masked_sentence,"Он так и не обвенчался с [MASK], но стал отцом сына и двух дочерей."
4_bert_hypotheses,"['ней', 'женой', 'Анной', 'супругой', 'Марией', 'нею', 'Екатериной', 'королевой', 'принцессой', 'дочерью', 'Елизаветой', 'матерью', 'женщиной', 'ним', 'Маргаритой']"
1_sentence,"Позже, в 1619 году, Галилей официально узаконил сына; обе дочери закончили жизнь в монастыре."
2_masked_token,Галилей
3_masked_sentence,"Позже, в 1619 году, [MASK] официально узаконил сына; обе дочери закончили жизнь в монастыре."
4_bert_hypotheses,"['он', 'отец', 'король', 'император', 'Франциск', 'папа', 'Фердинанд', 'Филипп', 'Максимилиан', 'герцог', 'Карл', 'патриарх', 'Генрих', 'Пётр', 'Людовик']"
1_sentence,"Обещание он сдержал, что позволило Галилею решить проблему огромных долгов, накопившихся после выдачи замуж двух его сестёр."
2_masked_token,Галилею
3_masked_sentence,"Обещание он сдержал, что позволило [MASK] решить проблему огромных долгов, накопившихся после выдачи замуж двух его сестёр."
4_bert_hypotheses,"['ему', 'ей', 'им', 'бы', 'мужу', 'успешно', 'быстро', 'и', 'тому', 'впоследствии', 'окончательно', 'женщине', 'даже', 'также', 'наконец']"
1_sentence,"Формально он также зачислен профессором Пизанского университета, но освобождён от утомительной обязанности чтения лекций."
2_masked_token,Пизанского
3_masked_sentence,"Формально он также зачислен профессором [MASK] университета, но освобождён от утомительной обязанности чтения лекций."
4_bert_hypotheses,"['этого', 'Кембриджского', 'Колумбийского', 'Йельского', 'Оксфордского', 'Парижского', 'Венского', 'Московского', 'Берлинского', 'Виленского', 'Пражского', 'Гарвардского', 'Казанского', 'Лондонского', 'Варшавского']"
1_sentence,"Свои достижения (а зачастую и свой приоритет) Галилей зачастую излагал в задиристо-полемическом стиле, чем нажил немало новых врагов (в частности, среди иезуитов)."
2_masked_token,Галилей
3_masked_sentence,"Свои достижения (а зачастую и свой приоритет) [MASK] зачастую излагал в задиристо - полемическом стиле, чем нажил немало новых врагов (в частности, среди иезуитов)."
4_bert_hypotheses,"['он', 'учёный', 'автор', ',', 'писатель', 'иезуит', 'и', 'тот', 'поэт', 'Галилей', 'Августин', 'аббат', 'мыслитель', 'епископ', 'философ']"
1_sentence,25 февраля 1615 года римская инквизиция начала первое дело против Галилея по обвинению в ереси.
2_masked_token,Галилея
3_masked_sentence,25 февраля 1615 года римская инквизиция начала первое дело против [MASK] по обвинению в ереси.
4_bert_hypotheses,"['него', 'иезуитов', 'Караваджо', 'Медичи', 'короля', 'Франциска', 'Галилея', 'Папы', 'священника', 'папы', 'Лютера', 'Рафаэля', 'католиков', 'Микеланджело', 'кардинала']"
1_sentence,"Встревоженная успехами Реформации, католическая церковь решила укрепить свою духовную монополию - в частности, запретив коперниканство."
2_masked_token,Реформации
3_masked_sentence,"Встревоженная успехами [MASK], католическая церковь решила укрепить свою духовную монополию - в частности, запретив коперниканство."
4_bert_hypotheses,"['Реформации', 'войны', 'реформ', 'революции', 'папы', 'французов', 'миссионеров', 'иезуитов', 'Наполеона', 'восстания', 'союзников', 'гугенотов', 'испанцев', 'войн', 'событий']"
1_sentence,"Церковный запрет гелиоцентризма, в истинности которого Галилей был убеждён, был неприемлем для учёного."
2_masked_token,Галилей
3_masked_sentence,"Церковный запрет гелиоцентризма, в истинности которого [MASK] был убеждён, был неприемлем для учёного."
4_bert_hypotheses,"['он', 'Ньютон', 'Лютер', 'тот', 'Галилей', 'Эйнштейн', 'автор', 'ученый', 'учёный', 'патриарх', 'я', 'Декарт', 'Бог', 'Лейбниц', 'последний']"
1_sentence,"В 1623 году выходит книга Галилея ""Пробирных дел мастер"" (итал. Il Saggiatore); это памфлет, направленный против иезуитов, в котором Галилей излагает свою ошибочную теорию комет (он полагал, что кометы - не космические тела, а оптические явления в атмосфере Земли)."
2_masked_token,Галилея
3_masked_sentence,"В 1623 году выходит книга [MASK] ""Пробирных дел мастер ""(итал."
4_bert_hypotheses,"['его', '«', '""', '—', 'о', ':', ',', 'стихов', 'воспоминаний', 'мемуаров', 'переводов', 'мастера', 'новелл', 'художника', 'мастеров']"
1_sentence,Позиция иезуитов (и Аристотеля) в данном случае была ближе к истине: кометы - внеземные объекты.
2_masked_token,Аристотеля
3_masked_sentence,Позиция иезуитов (и [MASK]) в данном случае была ближе к истине: кометы - внеземные объекты.
4_bert_hypotheses,"['иезуитов', 'католиков', 'протестантов', 'францисканцев', 'миссионеров', 'духовенства', 'баптистов', 'лютеран', 'исследователей', 'Ватикана', 'французов', 'прочих', 'тамплиеров', 'доминиканцев', 'мормонов']"
1_sentence,"Эта ошибка не помешала, однако, Галилею изложить и остроумно аргументировать свой научный метод, из которого выросло механистическое мировоззрение последующих веков."
2_masked_token,Галилею
3_masked_sentence,"Эта ошибка не помешала, однако, [MASK] изложить и остроумно аргументировать свой научный метод, из которого выросло механистическое мировоззрение последующих веков."
4_bert_hypotheses,"['ему', 'им', 'автору', 'полностью', 'учёным', 'более', 'многим', 'существенно', 'учёному', 'подробно', 'Мартину', 'ученым', 'основательно', 'Руссо', 'вновь']"
1_sentence,"Этот приём он использовал позже и в своей главной книге ""Диалог о двух системах мира""; часть текста ""Писем к Инголи"" была просто перенесена в ""Диалог""."
2_masked_token,Инголи
3_masked_sentence,"Этот приём он использовал позже и в своей главной книге ""Диалог о двух системах мира ""; часть текста ""Писем к [MASK] ""была просто перенесена в ""Диалог""."
4_bert_hypotheses,"['другу', 'Богу', 'потомкам', 'нему', 'читателю', 'миру', 'отцу', 'диалогу', 'друзьям', 'человеку', 'царю', 'учителю', 'брату', 'людям', 'императору']"
1_sentence,"Но главная научная ценность этого сочинения - закладка основ новой, неаристотелевской механики, развёрнутая 12 лет спустя в последнем сочинении Галилея ""Беседы и математические доказательства двух новых наук""."
2_masked_token,Галилея
3_masked_sentence,"Но главная научная ценность этого сочинения - закладка основ новой, неаристотелевской механики, развёрнутая 12 лет спустя в последнем сочинении [MASK] ""Беседы и математические доказательства двух новых наук""."
4_bert_hypotheses,"[':', '-', ',', '—', 'его', '–', 'как', 'трактата', 'последнего', 'книги', 'цикла', 'Платона', 'автора', 'Канта', ';']"
1_sentence,"Это произойдет потому, что так же должно получаться, будет ли Земля в движении или стоять неподвижно…"
2_masked_token,Земля
3_masked_sentence,"Это произойдет потому, что так же должно получаться, будет ли [MASK] в движении или стоять неподвижно…"
4_bert_hypotheses,"['человек', 'он', 'тело', 'ребёнок', 'она', 'персонаж', 'животное', 'оно', 'субъект', 'голова', 'корабль', 'лошадь', 'объект', 'игрок', 'птица']"
1_sentence,В современной терминологии Галилей провозгласил однородность пространства (отсутствие центра мира) и равноправие инерциальных систем отсчёта.
2_masked_token,Галилей
3_masked_sentence,В современной терминологии [MASK] провозгласил однородность пространства (отсутствие центра мира) и равноправие инерциальных систем отсчёта.
